iter	Passed	Remaining
578	4013	2918
579	4020	2911
580	4027	2904
581	4033	2897
582	4041	2890
583	4049	2884
584	4056	2877
585	4063	2870
586	4070	2863
587	4076	2856
588	4083	2849
589	4091	2843
590	4098	2836
591	4105	2829
592	4112	2822
593	4118	2815
594	4126	2808
595	4133	2801
596	4139	2794
597	4146	2787
598	4153	2780
599	4160	2773
600	4167	2766
601	4173	2759
602	4180	2752
603	4188	2746
604	4194	2738
605	4201	2731
606	4208	2724
607	4214	2717
608	4221	2710
609	4228	2703
610	4235	2696
611	4242	2689
612	4249	2682
613	4256	2675
614	4263	2668
615	4271	2662
616	4277	2655
617	4284	2648
618	4291	2641
619	4299	2635
620	4306	2628
621	4313	2621
622	4320	2614
623	4326	2607
624	4333	2600
625	4340	2593
626	4348	2586
627	4355	2579
628	4361	2572
629	4368	2565
630	4374	2558
631	4382	2551
632	4390	2545
633	4397	2538
634	4404	2531
635	4411	2524
636	4419	2518
637	4426	2511
638	4433	2504
639	4439	2497
640	4446	2490
641	4453	2483
642	4461	2477
643	4468	2470
644	4475	2463
645	4482	2456
646	4489	2449
647	4497	2443
648	4505	2436
649	4512	2430
650	4519	2423
651	4526	2415
652	4533	2409
653	4540	2402
654	4549	2396
655	4555	2389
656	4562	2382
657	4570	2375
658	4577	2368
659	4585	2361
660	4592	2355
661	4598	2347
662	4604	2340
663	4611	2333
664	4618	2326
665	4625	2319
666	4631	2312
667	4639	2305
668	4646	2298
669	4653	2291
670	4659	2284
671	4666	2277
672	4673	2270
673	4680	2264
674	4687	2257
675	4694	2250
676	4701	2243
677	4708	2236
678	4715	2229
679	4721	2221
680	4728	2215
681	4735	2208
682	4742	2200
683	4749	2194
684	4756	2187
685	4763	2180
686	4770	2173
687	4777	2166
688	4783	2159
689	4790	2152
690	4798	2145
691	4805	2138
692	4812	2132
693	4819	2124
694	4826	2118
695	4833	2111
696	4840	2104
697	4847	2097
698	4854	2090
699	4862	2083
700	4869	2076
701	4875	2069
702	4882	2062
703	4889	2055
704	4896	2048
705	4902	2041
706	4909	2034
707	4917	2028
708	4924	2021
709	4931	2014
710	4938	2007
711	4944	2000
712	4952	1993
713	4959	1986
714	4966	1979
715	4973	1972
716	4979	1965
717	4986	1958
718	4993	1951
719	5002	1945
720	5009	1938
721	5017	1931
722	5024	1925
723	5032	1918
724	5040	1911
725	5048	1905
726	5055	1898
727	5062	1891
728	5070	1884
729	5077	1877
730	5084	1871
731	5093	1864
732	5100	1857
733	5107	1850
734	5114	1844
735	5121	1837
736	5128	1830
737	5135	1823
738	5142	1816
739	5150	1809
740	5157	1802
741	5164	1795
742	5171	1788
743	5179	1782
744	5185	1775
745	5192	1767
746	5200	1761
747	5207	1754
748	5215	1747
749	5222	1740
750	5230	1734
751	5238	1727
752	5245	1720
753	5252	1713
754	5259	1706
755	5266	1699
756	5274	1693
757	5281	1686
758	5289	1679
759	5296	1672
760	5303	1665
761	5310	1658
762	5317	1651
763	5325	1644
764	5332	1637
765	5338	1630
766	5345	1623
767	5353	1617
768	5360	1610
769	5367	1603
770	5375	1596
771	5382	1589
772	5390	1582
773	5398	1576
774	5406	1569
775	5413	1562
776	5420	1555
777	5427	1548
778	5433	1541
779	5442	1534
780	5449	1528
781	5457	1521
782	5465	1514
783	5473	1507
784	5480	1500
785	5487	1494
786	5494	1486
787	5501	1480
788	5509	1473
789	5516	1466
790	5523	1459
791	5530	1452
792	5537	1445
793	5545	1438
794	5552	1431
795	5559	1424
796	5565	1417
797	5573	1410
798	5579	1403
799	5586	1396
800	5593	1389
801	5599	1382
802	5606	1375
803	5613	1368
804	5620	1361
805	5627	1354
806	5635	1347
807	5641	1340
808	5649	1333
809	5657	1327
810	5664	1320
811	5671	1313
812	5678	1306
813	5686	1299
814	5693	1292
815	5700	1285
816	5708	1278
817	5715	1271
818	5723	1264
819	5731	1258
820	5739	1251
821	5746	1244
822	5754	1237
823	5761	1230
824	5768	1223
825	5775	1216
826	5782	1209
827	5789	1202
828	5796	1195
829	5804	1188
830	5812	1182
831	5819	1175
832	5826	1168
833	5834	1161
834	5841	1154
835	5847	1147
836	5855	1140
837	5862	1133
838	5869	1126
839	5876	1119
840	5884	1112
841	5890	1105
842	5897	1098
843	5904	1091
844	5911	1084
845	5919	1077
846	5925	1070
847	5933	1063
848	5940	1056
849	5947	1049
850	5953	1042
851	5959	1035
852	5967	1028
853	5974	1021
854	5981	1014
855	5988	1007
856	5996	1000
857	6003	993
858	6010	986
859	6017	979
860	6024	972
861	6031	965
862	6038	958
863	6045	951
864	6052	944
865	6060	937
866	6067	930
867	6075	923
868	6082	916
869	6089	909
870	6097	903
871	6104	896
872	6112	889
873	6119	882
874	6126	875
875	6134	868
876	6141	861
877	6148	854
878	6155	847
879	6163	840
880	6170	833
881	6176	826
882	6183	819
883	6191	812
884	6199	805
885	6205	798
886	6212	791
887	6220	784
888	6227	777
889	6234	770
890	6241	763
891	6248	756
892	6256	749
893	6263	742
894	6270	735
895	6278	728
896	6285	721
897	6292	714
898	6298	707
899	6305	700
900	6312	693
901	6320	686
902	6328	679
903	6336	672
904	6343	665
905	6350	658
906	6358	651
907	6366	645
908	6373	638
909	6380	631
910	6387	624
911	6394	616
912	6400	609
913	6407	602
914	6414	595
915	6422	588
916	6430	582
917	6438	575
918	6444	568
919	6452	561
920	6459	554
921	6465	547
922	6472	539
923	6479	532
924	6486	525
925	6493	518
926	6500	511
927	6507	504
928	6514	497
929	6522	490
930	6528	483
931	6536	476
932	6542	469
933	6549	462
934	6558	455
935	6565	448
936	6572	441
937	6579	434
938	6586	427
939	6593	420
940	6600	413
941	6607	406
942	6614	399
943	6621	392
944	6629	385
945	6635	378
946	6643	371
947	6649	364
948	6657	357
949	6664	350
950	6671	343
951	6677	336
952	6684	329
953	6691	322
954	6698	315
955	6704	308
956	6711	301
957	6718	294
958	6725	287
959	6732	280
960	6740	273
961	6747	266
962	6753	259
963	6760	252
964	6767	245
965	6774	238
966	6781	231
967	6788	224
968	6795	217
969	6802	210
970	6809	203
971	6815	196
972	6823	189
973	6829	182
974	6836	175
975	6843	168
976	6852	161
977	6859	154
978	6866	147
979	6874	140
980	6881	133
981	6888	126
982	6895	119
983	6902	112
984	6909	105
985	6916	98
986	6923	91
987	6930	84
988	6937	77
989	6944	70
990	6952	63
991	6959	56
992	6966	49
993	6973	42
994	6979	35
995	6987	28
996	6994	21
997	7002	14
998	7009	7
999	7017	0
